user_id,timestamp,mcc,cell_id,longitude,latitude,loc_error
"MDVlNjFkNmM1MGU3YjI3NTY2MWRmMWQxOTQ1ZWYxZWYwYzQ4ZTA5MTJhMDI0OGY4MWVkZWNkNzFk
MWE0MTVhOA==",2022-01-01 00:00:00,154,1312,,,
"MDVlNjFkNmM1MGU3YjI3NTY2MWRmMWQxOTQ1ZWYxZWYwYzQ4ZTA5MTJhMDI0OGY4MWVkZWNkNzFk
MWE0MTVhOA==",2022-01-01 21:36:00,154,9303,,,
"MDVlNjFkNmM1MGU3YjI3NTY2MWRmMWQxOTQ1ZWYxZWYwYzQ4ZTA5MTJhMDI0OGY4MWVkZWNkNzFk
MWE0MTVhOA==",2021-12-02,,9401,,,
"MDVlNjFkNmM1MGU3YjI3NTY2MWRmMWQxOTQ1ZWYxZWYwYzQ4ZTA5MTJhMDI0OGY4MWVkZWNkNzFk
MWE0MTVhOA==",2022-06-03,154,8745,,,
0OHD1Z_92,2022-01-04T14:24:00+012:00,TT6FZI_59,TT6FZI_59,,,
"MDVlNjFkNmM1MGU3YjI3NTY2MWRmMWQxOTQ1ZWYxZWYwYzQ4ZTA5MTJhMDI0OGY4MWVkZWNkNzFk
MWE0MTVhOA==",2022-01-05 12:00:00,154,7920,,,
"MDVlNjFkNmM1MGU3YjI3NTY2MWRmMWQxOTQ1ZWYxZWYwYzQ4ZTA5MTJhMDI0OGY4MWVkZWNkNzFk
MWE0MTVhOA==",2022-01-06 09:36:00,154,2164,,,
"MDVlNjFkNmM1MGU3YjI3NTY2MWRmMWQxOTQ1ZWYxZWYwYzQ4ZTA5MTJhMDI0OGY4MWVkZWNkNzFk
MWE0MTVhOA==",2022-01-07 07:12:00,154,5213,,,
"MDVlNjFkNmM1MGU3YjI3NTY2MWRmMWQxOTQ1ZWYxZWYwYzQ4ZTA5MTJhMDI0OGY4MWVkZWNkNzFk
MWE0MTVhOA==",2022-01-08 04:48:00,154,1597,,,
"MDVlNjFkNmM1MGU3YjI3NTY2MWRmMWQxOTQ1ZWYxZWYwYzQ4ZTA5MTJhMDI0OGY4MWVkZWNkNzFk
MWE0MTVhOA==",2022-01-09 02:24:00,154,3081,,,
